,SMILES,OR1L3,OR2G2,OR2J2,OR2M4,OR2T10,OR2T34,OR5AC2,OR10G3,OR10G4,OR10G7
264,C=C(C=CC(=O)C=CC)COC,-5.387,-5.868,-5.452,-5.43,-5.316,-5.072,-5.229,-5.08,-5.263,-5.076
265,C=CC(=CC1OC=CCCN1CC)OC(C)=O,-5.288,-5.527,-5.325,-4.574,-3.755,-4.763,-4.885,-4.467,-5.014,-5.043
266,CC=C(CCC)SCCCC,-5.046,-5.392,-5.101,-4.99,-4.8,-4.844,-4.583,-4.696,-4.776,-4.901
267,CCC(C)=CC1=CC(C)OOC1,-6.467,-6.711,-6.405,-6.063,-5.592,-5.767,-5.933,-5.746,-6.026,-6.211
268,C=C=C(C=O)CC=CCC,-5.351,-5.98,-5.097,-5.099,-5.198,-5.134,-4.791,-4.56,-4.849,-4.98
269,C=C(C)C=C[SH](N)C=CC=CC,-5.899,-6.04,-5.317,-5.374,-4.324,-5.2,-5.185,-5.2,-5.273,-5.149
270,CCCC(CC)OCC=CO,-5.216,-5.475,-4.972,-5.115,-4.705,-4.967,-4.748,-4.647,-4.709,-4.828
271,COCC=CC=C(C)S,-4.378,-4.931,-4.284,-4.195,-4.21,-4.265,-4.176,-4.025,-4.206,-4.193
272,C=CC=C=C(C)[SH](C)C(C)C,-5.242,-5.309,-5.31,-5.244,-4.487,-5.397,-4.815,-4.943,-5.007,-5.091
273,CC1=C(C2CC2(C)CCC(C)C)OC1,-6.73,-7.529,-6.72,-6.357,-5.344,-5.101,-6.074,-5.563,-6.202,-6.474
274,C=C=C[SH]=C1OC=CC1=CC,-5.189,-5.803,-5.333,-5.567,-4.847,-5.077,-4.815,-4.714,-5.15,-5.034
275,CSN(C)C1=CC1,-3.942,-3.926,-3.683,-3.721,-3.621,-3.869,-3.404,-3.705,-3.852,-3.694
276,CC=C(CC)C(=O)C(C)(C)CCC,-6.447,-6.009,-6.109,-5.725,-5.541,-5.578,-5.464,-5.501,-5.759,-5.6
277,C=CC=C1CCCCSNCC=CC=C1CC,-5.136,-4.541,-5.297,-4.251,-3.259,-2.802,-4.904,-3.777,-4.859,-4.828
278,CCC=C(C)C=C=O,-4.937,-4.955,-4.59,-4.558,-4.869,-5.013,-4.332,-4.316,-4.38,-4.616
279,CC[SH](C)C(=O)CC(C)=C(C)C,-6.102,-6.178,-5.469,-5.799,-4.692,-5.598,-5.302,-4.76,-5.605,-5.501
280,CC=CCC(CC)OC=C1CCC1,-5.902,-6.251,-5.924,-5.832,-5.282,-5.972,-5.479,-5.566,-6.051,-5.578
