,SMILES,OR1L3,OR2G2,OR2J2,OR2M4,OR2T10,OR2T34,OR5AC2,OR10G3,OR10G4,OR10G7
350,COC(=O)C=C(C)OCCO,-5.15,-5.414,-4.981,-5.13,-4.766,-4.645,-4.735,-4.734,-4.559,-4.533
351,CCCCCOC=CC(=O)CO,-5.357,-5.808,-5.191,-5.596,-4.988,-5.095,-5.078,-5.175,-5.161,-4.975
352,CCC(C)OC(=O)CO,-5.085,-5.272,-4.581,-5.032,-4.392,-4.825,-4.407,-4.637,-4.622,-4.678
353,CCOC(=O)OCCO,-4.682,-4.769,-4.354,-4.663,-4.238,-4.17,-4.05,-4.624,-4.462,-4.241
354,CCC=C(CCCC)OCCC=O,-5.285,-6.071,-5.454,-5.789,-4.97,-5.098,-4.937,-5.098,-5.003,-4.958
355,CCC(=O)OC(C)(O)CC,-5.535,-5.415,-4.834,-5.186,-4.728,-5.132,-4.801,-4.935,-5.375,-5.403
356,CC(CO)=C(O)OC(=O)OC(C)(CO)CCO,-6.658,-6.703,-5.846,-5.573,-5.307,-5.555,-5.582,-5.389,-5.273,-5.631
357,CC(=O)O,-3.224,-3.463,-3.118,-2.973,-3.205,-3.267,-3.117,-3.179,-3.119,-3.126
358,CCC(C)=O,-3.579,-3.997,-3.65,-3.429,-3.781,-3.845,-3.381,-3.498,-3.413,-3.437
359,O=CC1=CC(=O)O1,-4.34,-4.706,-4.127,-4.488,-3.943,-4.577,-3.85,-4.251,-4.248,-4.116
360,CCC(=O)C(=O)OC1(O)CCCC1,-6.466,-6.655,-5.877,-6.229,-4.947,-5.863,-5.852,-6.435,-6.047,-5.811
361,CC=C(C)C(=O)CCC,-5.298,-5.449,-5.02,-5.192,-5.416,-5.325,-4.621,-4.691,-4.882,-4.734
362,CCCCCCC(O)CC,-5.121,-5.545,-4.999,-4.836,-4.876,-4.639,-4.607,-4.555,-4.778,-4.974
363,COCC(C)(C)OO,-4.416,-4.966,-4.496,-4.416,-4.255,-4.398,-4.018,-4.605,-4.312,-4.123
364,C=C1CC2C=C3C=COC4(OCC)OCC2=CC1=C3O4,,,,,,,,,,
365,CCCC(=O)C(C)(CC1=CC(C)(C)CC=CO1)C(=O)O,-6.086,-5.987,-5.851,-4.555,-3.842,-5.72,-5.727,-3.34,-6.138,-5.783
366,C=C1C=C2C(=O)C3=CC4CCC2C(CC4)(O1)O3,-4.761,-3.34,-5.65,-5.265,-2.214,-1.788,-5.869,-5.614,-5.714,-5.364
367,CCCC(O)=COC[O-],-5.224,-5.152,-4.609,-5.009,-4.262,-4.742,-4.547,-4.684,-4.902,-4.595
368,CCC(=O)C(=O)OC,-4.588,-5.079,-4.375,-4.484,-4.306,-4.549,-4.265,-4.558,-4.236,-4.186
369,CCOC(=O)C(C)=C(O)C(C)C,-5.977,-6.039,-5.458,-5.671,-5.042,-5.642,-5.216,-5.747,-5.681,-5.492
370,COC1CCOC(C)(C)C2C3=C2C2=CC4C=C3C2C41C,-4.799,-3.951,-6.945,-4.354,-1.607,-0.185,-7.116,-1.158,-6.963,-7.19
371,O=C(OC1OOCCC2(O)[C]C1C=C2O)C(O)O,-5.895,-5.942,-5.661,-6.233,-2.057,-4.17,-5.342,-5.826,-5.59,-5.319
372,CC(S)=C(C)C1OCOC1C,-5.59,-5.41,-5.207,-5.534,-4.281,-4.846,-5.203,-4.596,-5.06,-5.284
373,COCC=CCCCO,-4.523,-4.976,-4.332,-4.134,-4.355,-4.351,-4.451,-4.006,-4.576,-4.311
374,CCC=C(C)CC(C)OC(O)(O)OCC,-6.476,-6.238,-5.949,-6.107,-5.228,-5.413,-5.921,-5.532,-6.208,-6.259
375,CCC1CCCC(C)=C1OC(C)=COOC(=O)O,-7.217,-6.893,-7.163,-7.21,-4.256,-4.886,-6.952,-5.93,-6.989,-6.898
376,CCOC(=O)C(C)(S)OCC,-4.841,-5.181,-4.838,-4.895,-4.487,-4.828,-4.578,-4.99,-4.907,-4.597
377,CC1CCOC(C)C1,-5.14,-5.193,-5.089,-4.978,-4.896,-5.082,-4.636,-4.641,-5.031,-4.649
378,CC(C)C=O,-3.455,-3.985,-3.626,-3.489,-4.006,-3.825,-3.33,-3.333,-3.34,-3.368
379,C=CC(=CS)OC(C)=O,-4.595,-4.714,-4.685,-4.467,-4.331,-4.366,-4.501,-4.332,-4.434,-4.355
380,CCOC(C)(OC)C(C)(C)C(C)CC(C)C,-5.93,-5.351,-6.547,-5.402,-3.843,-4.632,-5.9,-5.103,-6.098,-6.169
381,CC(=O)C(C)CCCC[Na],,,,,,,,,,
382,CC=CC(C)C(O)=COC(=O)C=S,-5.874,-6.399,-5.415,-5.615,-4.888,-5.714,-5.43,-5.204,-5.616,-5.664
383,CCCC(C)(O)OC,-4.764,-4.739,-4.535,-4.538,-4.358,-4.438,-4.126,-4.516,-4.709,-4.424
384,CC(=O)C=C(O)O,-4.572,-4.682,-4.094,-4.175,-4.446,-4.307,-3.925,-4.207,-4.241,-4.179
385,CON(CO)C(C)C(C)O,-5.26,-5.238,-4.648,-5.104,-4.304,-5.209,-4.723,-5.055,-4.897,-4.766
386,CC(O)=C(C)O,-4.321,-4.188,-3.873,-3.973,-3.862,-4.088,-3.766,-4.052,-3.869,-3.778
387,CC(C)C=COC(C(C)O)C(C)C(C)C(C)CCO,-7.174,-6.977,-7.091,-6.605,-2.046,-6.563,-6.616,-4.419,-6.424,-6.412
388,CC1COC12Oc1occ2occc1O,,,,,,,,,,
389,CC1C=C1O,-3.756,-4.059,-3.87,-3.44,-3.771,-3.754,-3.511,-3.725,-3.605,-3.444
390,CC(C)=CC(=O)O,-4.877,-5.118,-4.253,-4.466,-4.73,-4.68,-4.218,-4.283,-4.314,-4.318
391,CC=C(C=O)C=CC(=O)OCC,-5.613,-5.961,-5.296,-5.464,-5.333,-5.348,-5.394,-5.389,-5.098,-4.924
392,CC=CC(CC)C(=O)CCC,-5.415,-5.713,-5.335,-5.556,-5.645,-5.175,-5.01,-5.119,-5.072,-5.179
393,CC(C=O)=C(O)O,-4.525,-5.121,-4.03,-4.214,-4.508,-4.594,-3.921,-4.205,-4.206,-4.105
394,COCC(CCOC(=O)C(C)=O)N(C)C,-5.879,-6.219,-5.984,-5.406,-4.407,-5.386,-5.43,-5.386,-5.282,-5.206
395,CC=CC(=O)C(C)=CC,-5.26,-5.458,-4.808,-5.13,-5.332,-5.428,-4.623,-4.88,-4.761,-4.766
396,C=CC(C)OC(=O)C(C)OCCO,-5.574,-5.99,-5.53,-5.596,-4.681,-5.233,-5.147,-5.176,-5.315,-5.229
397,CC1=CC=CCOC(C)(C)OC(O)OC1=O,-4.601,-4.828,-4.712,-5.255,-2.685,-2.782,-4.867,-3.978,-5.085,-4.769
398,CCCCC(CC=O)C(=O)C(OC=O)OC(=O)O,-6.671,-6.502,-6.266,-6.207,-5.035,-5.829,-6.237,-5.513,-6.246,-5.843
399,CC(=O)OC(C)CCC=O,-5.095,-5.471,-5.248,-4.883,-4.657,-5.093,-4.839,-4.76,-5.012,-4.657
400,C1=CC2C3=C1OC1=C4C5=C2C(O3)C2CC3C=C(C1=C32)C45,,,,,,,,,,
401,C=CC(O)(CC)C(C)CC,-5.312,-5.317,-5.299,-5.359,-4.991,-5.27,-4.737,-4.961,-5.255,-5.341
402,CCCC(O)C(C)CC,-5.07,-5.446,-4.824,-4.89,-4.919,-5.224,-4.637,-4.921,-4.999,-4.739
403,CC=CC(C)(O)OCC,-4.69,-5.102,-4.835,-4.783,-4.628,-4.841,-4.446,-4.401,-5.01,-4.922
404,CCN(C)C(=CO)CCOC,-5.046,-5.078,-4.708,-4.512,-3.995,-4.58,-4.594,-4.759,-4.797,-4.572
405,C=C=C(C(C)=O)C(C)CCC,-5.671,-5.345,-5.747,-5.77,-5.453,-5.252,-5.162,-4.942,-5.168,-5.531
406,CCCC(C)=CC(=O)C(C)(O)OC,-6.488,-6.496,-5.693,-6.194,-5.569,-5.432,-5.63,-5.987,-5.809,-5.712
407,CC(=O)C=CC(O)=CO,-5.485,-5.419,-4.589,-4.693,-4.707,-5.168,-4.59,-4.792,-4.964,-4.579
408,O=C1CCCSC2=CC=C3CC4=COC3=C(OC1)C42,,,,,,,,,,
409,C=CCCOC(CCC)OCOC(=O)OC,-5.836,-6.609,-5.73,-5.843,-5.231,-5.373,-5.544,-5.757,-5.389,-5.406
410,CC1CCOC(=O)CCOC(OC(=O)O)(C(C)C)CC1,-4.976,-4.509,-5.937,-5.301,-3.475,-3.831,-5.562,-2.808,-5.279,-5.233
411,CCC(COC)OOC(C)C=O,-5.104,-5.897,-5.08,-5.314,-4.812,-5.324,-4.984,-4.796,-4.957,-4.701
412,CCC(OC)OC1OC(=O)CCOC(C)(C)O1,-5.169,-5.949,-5.477,-5.676,-3.661,-4.994,-5.016,-4.126,-5.139,-4.731
413,CCCC(CC)CCC(C)C,-5.591,-5.679,-5.335,-5.246,-5.324,-5.275,-5.046,-4.958,-5.094,-5.452
414,O=CC=COCO,-4.04,-4.011,-3.719,-4.108,-3.92,-4.356,-3.714,-3.88,-3.978,-3.584
415,CC(O)COC1(C)CC(C)C(C(O)O)CC=C(Cl)O1,-5.78,-5.072,-5.84,-4.481,-3.028,-3.08,-5.291,-4.67,-5.144,-5.327
416,CCC(=O)CCCCC(C)=O,-5.402,-6.206,-5.474,-5.318,-5.218,-5.241,-5.071,-5.075,-5.313,-5.264
417,CC12COCC3CC(=O)C(=O)C(C)(OC1)C(C)(C3)O2,-2.734,-0.642,-5.024,-2.088,1.434,0.027,-5.511,-2.492,-5.179,-5.583
418,CC(C=O)=Cc1ccc(C)cccc(C)o1,-8.047,-8.0,-8.111,-7.276,-4.711,-6.006,-7.42,-5.079,-7.36,-7.339
419,C=CC(C)C=CCCC(O)O,-5.747,-6.268,-5.277,-5.645,-5.912,-5.662,-5.05,-4.99,-5.441,-5.612
420,CCC(C)OC1=CCCC2CCC(=CC=C1)C(CO)O2,-5.865,-5.524,-5.983,-4.419,-3.046,-2.4,-5.636,-4.251,-5.628,-5.702
421,CC=C(C)C=C1OC1=CC,-5.484,-6.085,-5.244,-5.62,-5.805,-5.4,-5.268,-5.107,-5.396,-5.199
422,CCOC(C)(C)OCC,-4.402,-4.79,-4.713,-4.654,-4.199,-4.701,-4.08,-4.43,-4.196,-4.375
423,CC(=O)OOCCCC(=O)O,-5.416,-5.649,-5.272,-5.253,-5.072,-5.16,-5.281,-5.499,-5.176,-4.658
424,O=Cc1c2cc3c4c1C1C=CC5=C2OC12C(=C3C42)C=C5,,,,,,,,,,
425,O=COCC(=O)O,-4.288,-4.699,-3.747,-4.21,-3.773,-3.861,-3.747,-4.189,-4.011,-3.883
426,CCCC(=O)C(O)CC,-5.385,-5.249,-4.542,-4.934,-4.836,-4.96,-4.461,-4.783,-5.089,-4.7
427,CCC1=CCCCCC2CC(=O)COC(C)=C2CC1C,-4.345,-4.239,-5.595,-3.578,0.083,-1.828,-4.566,-2.173,-4.866,-4.923
428,CCC(CC)OC,-4.136,-4.395,-3.976,-4.006,-4.052,-4.25,-3.776,-3.942,-3.83,-3.76
429,CCCC(C)(C=O)CC,-5.361,-5.135,-4.969,-5.044,-5.082,-5.155,-4.376,-4.549,-4.683,-4.789
430,CCOC(CC)CC,-4.406,-4.627,-4.474,-4.291,-4.471,-4.591,-4.054,-4.226,-4.065,-4.054
431,C=C=CC=C(C)OOC(=O)C(=O)O,-5.815,-6.613,-5.641,-6.012,-5.17,-5.708,-5.424,-5.904,-5.561,-5.732
432,CCCCCC(C)(C)OC(C)=O,-5.71,-6.266,-6.073,-5.716,-5.094,-5.243,-5.191,-5.55,-5.283,-5.37
433,CCCC(=O)OC(C=CC(C)C)=C(C)C,-6.647,-6.651,-6.433,-6.268,-5.316,-6.069,-5.881,-5.651,-6.093,-5.857
434,COC(O)(O)C(C)O,-4.791,-4.75,-4.372,-4.435,-4.018,-4.622,-4.135,-4.834,-4.599,-4.51
435,COOC(O)CCC=O,-4.956,-5.002,-4.483,-4.683,-4.498,-4.455,-4.246,-4.626,-4.684,-4.313
436,CC(=O)CC(OCCO)C(C)(C)O,-5.634,-5.683,-5.213,-5.377,-4.648,-5.478,-5.537,-5.607,-5.62,-5.313
437,CC1=C(C=O)O1,-4.265,-4.416,-3.841,-3.916,-3.76,-4.214,-3.608,-3.906,-3.957,-3.881
438,CCCCOC(=O)OCCC,-5.196,-5.411,-4.711,-4.929,-4.818,-4.863,-4.638,-5.096,-5.076,-4.964
439,CCCOC(OCCC)OOC,-5.126,-5.282,-4.892,-5.185,-4.672,-4.84,-4.767,-4.751,-4.934,-4.605
440,CCOC=COCC(O)O,-4.675,-5.291,-4.315,-4.812,-4.316,-4.451,-4.702,-4.915,-4.796,-4.438
441,CCCC(=CO)OC,-4.739,-4.582,-4.223,-4.461,-4.387,-4.528,-4.228,-4.328,-4.396,-4.311
442,O=COC(O)CC(=O)OO,-5.16,-5.554,-4.281,-5.227,-4.819,-5.314,-4.207,-4.634,-4.406,-4.311
443,C=C(O)CC(CC)OC(C)OCC,-5.781,-5.815,-5.506,-5.525,-4.372,-5.573,-5.27,-5.461,-5.339,-5.402
444,C=C(C)C(C=COCC)=COC,-5.161,-5.717,-5.545,-5.299,-5.409,-5.119,-4.96,-5.018,-4.846,-4.879
445,C=C(O)C1CCOC(CCC)OC1,-4.578,-4.864,-4.474,-4.696,-3.748,-4.44,-4.174,-4.54,-4.589,-4.413
446,C=C(O)OOC(=O)O,-4.804,-4.932,-4.477,-4.382,-4.276,-4.574,-4.267,-4.414,-4.495,-4.34
447,CCOC=CC(=O)CC,-4.592,-4.982,-4.723,-4.534,-4.401,-4.604,-4.342,-4.454,-4.565,-4.325
448,COC(=O)C1=CC=C2CCC(=C1C)C=N2,-5.704,-5.177,-5.371,-5.132,-3.421,-3.978,-5.28,-4.944,-5.838,-5.208
449,CCC(C)C(O)C(C)CO,-5.558,-5.676,-5.18,-5.111,-4.927,-5.547,-4.888,-4.923,-5.127,-4.977
