,SMILES,OR1L3,OR2G2,OR2J2,OR2M4,OR2T10,OR2T34,OR5AC2,OR10G3,OR10G4,OR10G7
417,CCC=C(CC)N(C)C,-4.755,-4.583,-4.371,-4.49,-4.473,-4.55,-4.331,-4.25,-4.452,-4.376
418,CC(C)N(COC=O)C(C)CCCC=N,-5.808,-6.393,-5.959,-6.301,-4.752,-5.134,-5.552,-5.373,-5.286,-5.499
419,C=CC(=CCC)C(C)=O,-5.325,-5.325,-5.051,-5.035,-5.433,-5.422,-4.675,-4.672,-4.85,-4.805
420,CC=C(C=O)C(=O)CCCC,-5.695,-5.896,-5.367,-5.618,-5.324,-5.271,-4.809,-4.935,-5.299,-5.067
421,C=C(CCC)CSC,-4.351,-4.508,-4.094,-4.202,-4.297,-4.175,-4.095,-3.878,-3.992,-4.246
422,CCC=CCCCCC,-4.893,-5.302,-4.522,-4.628,-4.931,-4.61,-4.504,-4.223,-4.407,-4.688
423,CC1=C(C)SCCCC=C1,-3.887,-4.003,-3.95,-4.108,-3.299,-3.273,-3.87,-3.611,-3.928,-3.799
424,CCCCC(C)=NOC,-4.957,-5.044,-4.534,-5.001,-4.47,-4.94,-4.57,-4.537,-4.512,-4.498
425,CCC=C1COC(=O)OC(=O)C1,-4.788,-5.421,-4.64,-4.637,-3.925,-4.16,-4.363,-4.579,-4.626,-4.31
426,C=CC(=CC(O)=C(C)OC)CC(C)=O,-6.305,-6.233,-6.149,-5.998,-4.967,-5.558,-5.65,-5.365,-5.841,-5.852
427,CCCCC=C(C)C(C)CC(=O)CC,-6.301,-6.492,-6.645,-6.027,-5.823,-5.706,-5.576,-5.632,-5.714,-6.115
428,CC=CC(C)=C(O)C(=CC)CC=CCC,-6.584,-6.49,-6.321,-6.316,-5.757,-5.931,-5.557,-5.847,-6.171,-6.178
429,C=CC(C)C(CC)OC,-4.918,-4.873,-4.765,-4.764,-4.788,-5.29,-4.336,-4.525,-4.496,-4.721
430,CC=C=CC=CC(CC)CC,-5.467,-5.915,-5.398,-5.32,-5.458,-5.185,-5.171,-4.757,-4.743,-5.246
431,C=C(C)C(CC)CC(=O)C=C(C)C,-6.04,-6.297,-6.119,-6.171,-5.162,-5.589,-5.797,-5.262,-5.659,-5.757
432,COC(OC1=CC(C)N=CC=CC=C1)=C1C=C1,-5.392,-5.559,-5.182,-5.095,-3.303,-4.587,-4.952,-4.235,-4.901,-4.861
433,CCC(C)C1CS1,-4.119,-4.628,-4.185,-4.089,-4.422,-4.297,-3.986,-3.763,-3.848,-3.936
434,CC=C[C]=CC1CCC=C(C)C1,-6.602,-6.608,-6.527,-6.005,-5.817,-5.827,-6.06,-5.775,-5.572,-6.413
435,C=CCC1C(=O)N=C1C,-5.328,-5.796,-5.158,-5.266,-5.451,-5.635,-4.81,-5.297,-5.166,-5.381
436,COC(C)=C(C)CC1COC1,-5.504,-5.69,-5.412,-5.138,-4.557,-4.861,-4.931,-5.048,-5.098,-5.211
437,CCCCC(OC)=C(C)C,-5.23,-5.181,-5.033,-5.05,-4.99,-5.127,-4.571,-4.582,-4.759,-4.911
438,CCSC(C)C(CC(C)O)C(C)C,-6.05,-5.62,-5.514,-5.783,-4.336,-4.67,-5.45,-4.804,-5.361,-5.543
439,C=CC(CC)=C(CC)CO,-5.746,-5.392,-5.04,-5.15,-5.132,-5.429,-4.719,-4.756,-5.023,-5.041
440,C=CC(=CO)CCCC=O,-5.448,-5.664,-4.981,-5.03,-4.794,-5.309,-4.96,-4.728,-4.972,-4.823
441,C=C(C=CC(=C)C(C)=O)CC(C)CC(C)C,-7.102,-7.642,-7.108,-6.555,-5.706,-6.25,-6.254,-5.571,-6.266,-6.495
442,C=COCC(C)=C1CCCC1=C,-6.093,-6.101,-6.194,-5.936,-5.358,-5.927,-5.847,-5.763,-5.732,-5.951
443,CC(C)CC(C)CS,-4.406,-4.768,-4.414,-4.242,-4.003,-4.405,-4.089,-3.916,-4.094,-4.373
444,CC=C(OC)SCCC,-4.616,-4.934,-4.282,-4.508,-4.044,-4.326,-4.124,-4.41,-4.318,-4.155
445,CCC(C)CC(=O)C(C)C(=O)OC,-6.014,-6.363,-5.832,-6.384,-5.275,-5.586,-5.439,-5.276,-5.615,-5.764
446,CCCCC(O)CCCC(C)(C)C(C)C,-6.84,-6.827,-6.61,-6.144,-4.424,-6.225,-5.905,-5.547,-6.383,-6.142
447,CC=CC(S)=C(C=CCC)C(C)=O,-6.002,-5.677,-5.682,-5.541,-5.132,-5.337,-5.067,-5.457,-5.154,-5.362
448,COCCc1occc1C,-5.145,-5.616,-5.26,-5.116,-5.067,-5.163,-4.925,-5.02,-5.216,-4.908
449,CCC=C(C)C=COC(C)=O,-5.717,-6.153,-5.527,-5.363,-5.064,-5.28,-5.44,-5.142,-5.062,-5.37
450,CCC(C=COC)C(C)OC=O,-5.186,-5.661,-5.382,-5.451,-4.619,-4.899,-5.189,-4.969,-4.965,-5.064
451,C=C1C=CC1=CC(C)S,-5.302,-5.333,-5.088,-4.987,-4.945,-5.319,-4.969,-4.378,-4.974,-5.038
